bearID,sampleDate,sampleTime,latitude,longitude,agency,sex,bearAge,ageCode,cubAgeClass,reproClass,SLBL,correctedSLBL,girth,mass,cortisolAssay_pg_mg,,
45,1985-05-06,12:00,70.5667,-145.5500,usgs,F,8,A,C1,E0,183,196.76,104,157.40,6.7357,,
46,1984-04-08,14:50,70.3833,-140.3667,usgs,F,10,A,C2,E1,178,191.76,116,179.17,5.4289,,
47,1985-03-28,13:37,70.4167,-141.0333,usgs,M,3,S,NA,SM,186,199.74,112,183.70,4.1410,,
48,1984-10-28,14:30,70.9833,-149.0667,usgs,F,6,A,NA,IF,NA,NA,NA,NA,5.4456,,
49,1983-04-24,14:10,70.3667,-144.7167,usgs,F,8,A,NA,UF,175,188.76,110,176.90,3.6867,,
50,1988-11-09,15:00,70.1333,-142.2333,usgs,F,8,A,C1,E1,NA,NA,NA,NA,3.0541,,
51,1984-05-07,14:40,70.4667,-146.3667,usgs,M,6,A,NA,AM,205,220.65,135,278.51,4.4287,,
52,1984-05-04,10:20,72.1500,-149.1167,usgs,F,6,A,C0,IF,179,192.76,118,167.83,5.0553,,
53,1983-04-22,13:42,70.8833,-149.1000,usgs,M,5,A,NA,SM,218,231.74,155,353.80,3.7926,,
54,1988-11-07,12:48,70.5500,-147.1833,usgs,F,13,A,C0,E0,NA,NA,NA,NA,3.7268,,
55,1985-04-27,12:50,70.2333,-142.0833,usgs,F,4,S,NA,SF,174,186.41,107,127.01,3.6041,,
56,1988-04-16,18:00,71.1500,-152.2667,usgs,F,14,A,NA,UF,186,199.76,123,201.39,2.9907,,
57,1983-04-28,14:52,70.2333,-143.4000,usgs,F,2,D,NA,DY,NA,NA,NA,NA,4.8446,,
58,2004-04-03,0:00,71.4700,-155.6984,usgs,F,21,A,C0,IF,NA,NA,NA,NA,4.2577,,
59,1983-10-25,15:25,70.5667,-147.5333,usgs,M,5,A,NA,AM,NA,NA,NA,NA,3.7075,,
60,1983-10-27,10:38,70.7500,-149.3167,usgs,M,4,S,NA,SM,NA,NA,NA,NA,6.3373,,
60,1984-03-24,16:45,71.6333,-157.7500,usgs,M,5,A,NA,SM,191,204.74,129,249.48,4.5352,,
61,1983-10-28,12:05,70.8667,-149.7667,usgs,F,13,A,C1,E1,NA,NA,NA,NA,2.6712,,
62,1983-10-28,15:15,70.6167,-148.7833,usgs,M,2,S,NA,SM,NA,NA,NA,NA,4.1834,,
63,1983-10-30,10:49,71.1500,-149.6667,usgs,F,12,A,C0,E0,NA,NA,NA,NA,3.7381,,
64,1983-10-30,14:13,71.1167,-149.5667,usgs,F,4,S,NA,SF,NA,NA,NA,NA,3.4654,,
65,1983-10-31,11:21,71.0167,-146.8667,usgs,F,2,S,NA,SF,NA,NA,NA,NA,5.1344,,
66,1983-10-31,13:01,71.0833,-146.7667,usgs,F,2,S,NA,SF,NA,NA,NA,NA,3.4223,,
67,1983-11-01,13:06,70.9333,-146.7333,usgs,M,7,A,NA,AM,NA,NA,NA,NA,4.9221,,
68,1983-11-06,10:11,70.2333,-143.7500,usgs,F,3,S,NA,SF,NA,NA,NA,NA,2.6462,,
69,1983-11-06,12:19,70.4333,-144.7500,usgs,F,3,S,NA,SF,NA,NA,NA,NA,4.8084,,
70,1983-11-07,12:17,70.2000,-143.2667,usgs,F,2,S,NA,SF,NA,NA,NA,NA,3.5556,,
71,1983-11-07,13:21,70.2333,-143.1833,usgs,F,15,A,C1,E1,NA,NA,NA,NA,4.1955,,
72,1983-11-08,11:47,70.7167,-147.4167,usgs,M,3,S,NA,SM,NA,NA,NA,NA,5.2021,,
73,1984-03-22,14:15,71.6667,-156.3333,usgs,M,14,A,NA,AM,209,224.65,144,294.83,5.7521,,
74,1984-03-23,9:41,71.4667,-157.1667,usgs,F,7,A,C1,E0,177,190.76,115,195.04,5.2947,,
75,1984-03-23,18:12,71.7000,-158.3667,usgs,F,9,A,NA,UF,167,180.76,119,181.44,6.2604,,
76,1984-03-24,14:42,71.4833,-157.0333,usgs,M,10,A,NA,AM,220,235.65,156,394.63,3.3812,,
77,1984-03-24,16:42,71.6333,-157.7500,usgs,F,4,S,NA,SF,169,181.41,118,167.83,3.3680,,
78,1983-11-10,0:00,70.1667,-144.7667,usgs,F,2,S,NA,SF,NA,NA,NA,NA,2.9129,,
79,1984-03-27,10:04,71.6333,-154.6000,usgs,F,9,A,NA,UF,182,195.76,130,195.04,5.2347,,
80,1984-03-27,11:34,71.6333,-154.7667,usgs,F,19,A,C1,E0,186,199.76,118,190.51,5.2765,,
81,1984-03-27,17:24,71.8667,-155.0833,usgs,M,4,S,NA,SM,209,222.74,149,326.59,4.8922,,
82,1984-04-01,10:11,71.0000,-146.6667,usgs,F,9,A,C2,E1,181,194.76,116,195.04,2.9920,,
83,1988-10-22,15:51,70.4667,-147.6333,usgs,F,6,A,NA,IF,NA,NA,NA,NA,3.4208,,
83,2004-04-04,0:00,71.5053,-153.7786,usgs,F,22,A,C1,E0,NA,NA,NA,NA,7.5687,,
84,1984-04-04,15:12,71.2333,-149.0667,usgs,F,10,A,C2,E1,194,207.76,123,208.65,2.8437,,
85,1984-04-06,17:29,70.9167,-147.4500,usgs,F,12,A,C2,E1,191,204.76,112,190.51,3.3273,,
86,1988-10-27,12:29,70.5667,-145.8667,usgs,M,4,S,NA,SM,NA,NA,NA,NA,2.1653,,
87,1984-04-09,11:31,70.9333,-146.3833,usgs,M,3,S,NA,SM,179,192.74,119,185.97,4.8890,,
88,1984-04-09,13:19,70.6167,-147.0667,usgs,M,15,A,NA,AM,213,228.65,150,353.80,3.5731,,
89,1984-05-06,12:16,70.7167,-148.1333,usgs,F,5,A,NA,SF,NA,NA,NA,NA,6.1859,,
90,1984-05-06,15:31,70.9333,-148.6333,usgs,M,4,S,NA,SM,201,214.74,140,290.30,5.5419,,
90,1987-04-24,11:55,71.0500,-157.5500,usgs,M,7,A,NA,AM,212,227.65,136,309.80,1.5865,,
91,1984-05-06,16:36,70.9167,-148.6000,usgs,M,2,D,NA,DY,NA,NA,NA,NA,4.2333,,
92,1984-05-06,18:08,70.7167,-147.0833,usgs,F,17,A,C2,E1,NA,NA,NA,NA,6.4882,,
92,1988-10-28,12:19,70.6333,-148.7167,usgs,F,21,A,C0,E0,NA,NA,NA,NA,3.4598,,
93,1988-03-25,12:00,70.7167,-148.3000,usgs,F,10,A,C1,E0,181,194.76,116,181.89,4.3423,,
94,1984-05-08,11:24,70.4667,-145.0167,usgs,F,4,S,NA,SF,177,189.41,117,185.97,3.5726,,
94,1985-05-13,11:27,70.8167,-145.7667,usgs,F,5,A,NA,SF,175,187.41,119,200.03,6.5832,,
95,1984-05-08,15:07,70.5500,-144.0000,usgs,F,4,S,NA,SF,174,186.41,113,149.69,8.0558,,
95,1984-10-30,14:40,70.0333,-144.0333,usgs,F,4,S,NA,SF,NA,NA,NA,NA,4.2010,,
